"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 08- 28","1,937.67","1,932.39","1,938.61","1,927.39","446.75M","1.56%"
"2015- 08- 27","1,908.00","1,912.42","1,920.39","1,898.98","482.66M","0.73%"
"2015- 08- 26","1,894.09","1,843.70","1,895.45","1,835.58","453.39M","2.57%"
"2015- 08- 25","1,846.63","1,840.94","1,864.30","1,806.79","451.59M","0.92%"
"2015- 08- 24","1,829.81","1,860.03","1,872.86","1,800.75","415.18M","-2.47%"
"2015- 08- 21","1,876.07","1,862.79","1,886.49","1,856.91","512.31M","-2.01%"
"2015- 08- 20","1,914.55","1,929.43","1,933.79","1,912.55","397.53M","-1.28%"
"2015- 08- 19","1,939.38","1,954.56","1,959.51","1,915.91","506.79M","-0.86%"
"2015- 08- 18","1,956.26","1,977.61","1,979.33","1,954.35","472.77M","-0.62%"
"2015- 08- 17","1,968.52","1,991.05","1,991.05","1,968.44","561.57M","-0.75%"
"2015- 08- 13","1,983.46","1,975.47","1,990.70","1,966.02","376.59M","0.40%"
"2015- 08- 12","1,975.47","1,980.04","1,989.10","1,948.91","524.25M","-0.56%"
"2015- 08- 11","1,986.65","2,020.15","2,021.81","1,986.46","366.41M","-0.82%"
"2015- 08- 10","2,003.17","2,008.44","2,008.55","1,993.96","308.33M","-0.35%"
"2015- 08- 07","2,010.23","2,009.39","2,012.90","2,001.13","334.58M","-0.15%"
"2015- 08- 06","2,013.29","2,037.26","2,038.41","2,011.60","340.51M","-0.81%"
"2015- 08- 05","2,029.76","2,027.22","2,035.25","2,022.98","319.21M","0.09%"
"2015- 08- 04","2,027.99","2,007.75","2,027.99","2,007.66","388.79M","0.97%"
"2015- 08- 03","2,008.49","2,026.25","2,026.25","2,005.21","358.75M","-1.07%"
"2015- 07- 31","2,030.16","2,026.98","2,030.16","2,004.70","448.19M","0.55%"
"2015- 07- 30","2,019.03","2,040.24","2,044.93","2,019.03","509.32M","-0.91%"
"2015- 07- 29","2,037.62","2,053.62","2,055.95","2,037.62","520.57M","-0.07%"
"2015- 07- 28","2,039.10","2,026.33","2,045.55","2,015.91","498.53M","0.01%"
"2015- 07- 27","2,038.81","2,034.82","2,048.15","2,032.44","543.24M","-0.35%"
"2015- 07- 24","2,045.96","2,060.66","2,060.66","2,040.30","611.87M","-0.93%"
"2015- 07- 23","2,065.07","2,068.93","2,069.20","2,053.52","739.79M","0.02%"
"2015- 07- 22","2,064.73","2,071.06","2,075.94","2,059.45","1.16B","-0.91%"
"2015- 07- 21","2,083.62","2,082.18","2,088.24","2,069.21","727.41M","0.50%"
"2015- 07- 20","2,073.31","2,077.09","2,081.43","2,068.19","870.68M","-0.17%"
"2015- 07- 17","2,076.79","2,101.22","2,101.22","2,068.36","819.23M","-0.53%"
"2015- 07- 16","2,087.89","2,073.29","2,088.33","2,071.02","697.93M","0.72%"
"2015- 07- 15","2,072.91","2,068.38","2,079.90","2,060.66","619.13M","0.66%"
"2015- 07- 14","2,059.23","2,070.44","2,070.44","2,052.21","503.08M","-0.11%"
"2015- 07- 13","2,061.52","2,033.25","2,063.28","2,030.21","426.29M","1.49%"
"2015- 07- 10","2,031.17","2,036.89","2,037.84","2,024.76","381.31M","0.17%"
"2015- 07- 09","2,027.81","2,000.19","2,027.81","1,983.78","408.46M","0.58%"
"2015- 07- 08","2,016.21","2,045.88","2,046.33","2,010.83","453.12M","-1.18%"
"2015- 07- 07","2,040.29","2,067.04","2,067.93","2,028.98","502.81M","-0.66%"
"2015- 07- 06","2,053.93","2,076.06","2,089.86","2,052.23","474.04M","-2.40%"
"2015- 07- 03","2,104.41","2,107.51","2,109.68","2,094.02","419.55M","-0.14%"
"2015- 07- 02","2,107.33","2,107.11","2,110.81","2,098.76","565.34M","0.45%"
"2015- 07- 01","2,097.89","2,077.27","2,100.34","2,072.54","471.57M","1.14%"
"2015- 06- 30","2,074.20","2,054.83","2,075.02","2,049.44","392.41M","0.67%"
"2015- 06- 29","2,060.49","2,056.44","2,068.85","2,054.33","503.81M","-1.42%"
"2015- 06- 26","2,090.26","2,083.40","2,097.01","2,080.79","492.77M","0.25%"
"2015- 06- 25","2,085.06","2,077.84","2,088.16","2,073.95","575.91M","-0.02%"
"2015- 06- 24","2,085.53","2,086.69","2,087.68","2,076.78","400.75M","0.21%"
